Dish_Washer 9:0 1
Dish_Washer 11:20 0
Wash_machine 9:0 1
Wash_machine 12:0 0
dryer 15:0 1
dryer 16:0 0
refrigerator 12:0 1
refrigerator 24:0 0
oven 10:0 1
oven 12:0 0
cooker 19:0 1
cooker 20:0 0
microwave 7:0 1
microwave 8:0 0
water_heater 12:0 1
water_heater 14:0 0
tv 19:0 1
tv 21:0 0
laptop 14:0 1
laptop 17:0 0
desktop 14:0 1
desktop 17:0 0
vaccuum 7:0 1
vaccuum 8:0 0
sensors 0:0 1
sensors 24:0 0
radio 7:0 1
radio 8:0 0
ac 12:0 1
ac 24:0 0
iron 5:0 1
iron 7:0 0
illuminition 19:0 1
illuminition 24:0 0
others 0:0 1
others 5:0 0
